"customer_id","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","customer_segment"
13890,5125,"10","1883.81",1,1,2,"112","Lost Customers"
15877,5125,"2","493.28",1,3,3,"133","At Risk"
16794,5125,"10","1220.69",1,1,2,"112","Lost Customers"
15159,5125,"30","18641.01",1,1,1,"111","Lost Customers"
14621,5125,"5","1788.36",1,2,2,"122","Lost Customers"
14138,5125,"2","982.38",1,4,2,"142","At Risk"
17856,5125,"4","1418.03",1,2,2,"122","Lost Customers"
13314,5125,"3","775.94",1,3,3,"133","At Risk"
12955,5125,"11","4757.16",1,1,1,"111","Lost Customers"
13408,5125,"62","28117.04",1,1,1,"111","Lost Customers"
14653,5125,"7","1937.60",1,1,2,"112","Lost Customers"
17144,5125,"2","984.57",1,4,2,"142","At Risk"
16833,5125,"4","1106.53",1,2,2,"122","Lost Customers"
17677,5125,"30","16363.23",1,1,1,"111","Lost Customers"
13013,5125,"13","4810.94",1,1,1,"111","Lost Customers"
15189,5125,"41","16225.39",1,1,1,"111","Lost Customers"
14730,5125,"8","2005.06",1,1,2,"112","Lost Customers"
13510,5125,"4","1791.56",1,2,2,"122","Lost Customers"
14520,5125,"2","270.60",1,3,4,"134","At Risk"
17830,5125,"3","398.70",1,2,4,"124","Lost Customers"
14796,5125,"17","8020.93",1,1,1,"111","Lost Customers"
13298,5125,"1","360.00",1,4,4,"144","At Risk"
17451,5125,"7","1721.40",1,1,2,"112","Lost Customers"
14129,5125,"5","1123.86",1,2,2,"122","Lost Customers"
12437,5125,"18","4447.41",1,1,1,"111","Lost Customers"
13924,5125,"6","1838.85",1,1,2,"112","Lost Customers"
15443,5125,"7","3236.91",1,1,1,"111","Lost Customers"
17631,5125,"3","528.33",1,3,3,"133","At Risk"
16933,5125,"2","563.23",1,3,3,"133","At Risk"
14191,5125,"13","4684.76",1,1,1,"111","Lost Customers"
13468,5125,"37","5704.97",1,1,1,"111","Lost Customers"
17757,5125,"30","5601.34",1,1,1,"111","Lost Customers"
14702,5125,"17","3292.14",1,1,1,"111","Lost Customers"
14217,5125,"17","2004.98",1,1,2,"112","Lost Customers"
16210,5125,"17","21076.30",1,1,1,"111","Lost Customers"
14415,5125,"13","5900.28",1,1,1,"111","Lost Customers"
13521,5125,"3","1092.39",1,2,2,"122","Lost Customers"
13954,5125,"2","439.92",1,3,4,"134","At Risk"
13026,5125,"5","975.36",1,2,2,"122","Lost Customers"
14719,5125,"5","1602.13",1,2,2,"122","Lost Customers"
14911,5125,"198","136275.72",1,1,1,"111","Lost Customers"
13077,5125,"4","729.27",1,2,3,"123","Lost Customers"
16891,5125,"5","809.70",1,2,3,"123","Lost Customers"
13269,5125,"15","5346.23",1,1,1,"111","Lost Customers"
15187,5125,"15","4762.18",1,1,1,"111","Lost Customers"
14251,5125,"5","2879.70",1,2,1,"121","Lost Customers"
17243,5125,"26","8668.45",1,1,1,"111","Lost Customers"
16892,5125,"5","525.54",1,2,3,"123","Lost Customers"
14646,5125,"72","279138.02",1,1,1,"111","Lost Customers"
13471,5125,"4","2531.58",1,2,1,"121","Lost Customers"
15208,5125,"5","870.12",1,2,3,"123","Lost Customers"
14135,5125,"15","4690.31",1,1,1,"111","Lost Customers"
17528,5125,"8","3628.50",1,1,1,"111","Lost Customers"
16442,5125,"3","616.79",1,3,3,"133","At Risk"
14606,5125,"90","12006.65",1,1,1,"111","Lost Customers"
13318,5125,"3","640.76",1,3,3,"133","At Risk"
15898,5125,"5","1388.88",1,2,2,"122","Lost Customers"
17554,5125,"5","1952.45",1,2,2,"122","Lost Customers"
17673,5125,"6","1629.12",1,1,2,"112","Lost Customers"
17835,5126,"3","350.64",1,2,4,"124","Lost Customers"
18237,5126,"5","987.10",1,2,2,"122","Lost Customers"
14910,5126,"4","434.35",1,2,4,"124","Lost Customers"
16539,5126,"4","1388.81",1,2,2,"122","Lost Customers"
18092,5126,"11","9068.26",1,1,1,"111","Lost Customers"
15984,5126,"10","2837.67",1,1,1,"111","Lost Customers"
12471,5126,"27","17424.05",1,1,1,"111","Lost Customers"
17590,5126,"3","1477.97",1,2,2,"122","Lost Customers"
15498,5126,"27","13316.40",1,1,1,"111","Lost Customers"
16000,5126,"3","12393.70",1,3,1,"131","At Risk"
16368,5126,"2","497.43",1,3,3,"133","At Risk"
16426,5126,"10","1908.25",1,1,2,"112","Lost Customers"
14395,5126,"9","3507.71",1,1,1,"111","Lost Customers"
18219,5126,"10","2069.77",1,1,1,"111","Lost Customers"
17042,5126,"5","1044.38",1,2,2,"122","Lost Customers"
14204,5126,"1","161.03",1,5,5,"155","At Risk"
14708,5126,"3","1126.37",1,2,2,"122","Lost Customers"
13769,5126,"10","2796.51",1,1,1,"111","Lost Customers"
16525,5126,"26","13027.45",1,1,1,"111","Lost Customers"
14794,5126,"7","1319.91",1,1,2,"112","Lost Customers"
13534,5126,"25","5870.08",1,1,1,"111","Lost Customers"
12720,5126,"25","5115.73",1,1,1,"111","Lost Customers"
12935,5126,"7","2160.70",1,1,1,"111","Lost Customers"
16779,5126,"22","10629.72",1,1,1,"111","Lost Customers"
13089,5126,"97","58825.83",1,1,1,"111","Lost Customers"
13668,5126,"21","6363.59",1,1,1,"111","Lost Customers"
12347,5126,"7","4310.00",1,1,1,"111","Lost Customers"
13685,5126,"7","3119.44",1,1,1,"111","Lost Customers"
17017,5126,"20","8694.26",1,1,1,"111","Lost Customers"
16672,5126,"20","8134.94",1,1,1,"111","Lost Customers"
15136,5126,"4","1286.70",1,2,2,"122","Lost Customers"
17735,5126,"19","13110.02",1,1,1,"111","Lost Customers"
17434,5126,"7","2373.82",1,1,1,"111","Lost Customers"
14527,5126,"55","8507.82",1,1,1,"111","Lost Customers"
14397,5126,"19","2612.96",1,1,1,"111","Lost Customers"
13267,5126,"19","4521.49",1,1,1,"111","Lost Customers"
14534,5126,"18","4445.40",1,1,1,"111","Lost Customers"
16458,5126,"18","3482.74",1,1,1,"111","Lost Customers"
14085,5126,"18","4448.54",1,1,1,"111","Lost Customers"
14087,5126,"1","194.42",1,5,5,"155","At Risk"
17602,5126,"6","5102.97",1,1,1,"111","Lost Customers"
17238,5126,"17","3744.65",1,1,1,"111","Lost Customers"
13743,5126,"7","1341.60",1,1,2,"112","Lost Customers"
17232,5126,"2","421.52",1,3,4,"134","At Risk"
15471,5126,"1","469.48",1,4,4,"144","At Risk"
17503,5126,"2","558.96",1,3,3,"133","At Risk"
15883,5126,"2","396.48",1,3,4,"134","At Risk"
14189,5126,"15","4654.08",1,1,1,"111","Lost Customers"
12828,5126,"6","1018.71",1,1,2,"112","Lost Customers"
12569,5126,"32","3152.69",1,1,1,"111","Lost Customers"
13949,5126,"6","2427.32",1,1,1,"111","Lost Customers"
15195,5126,"1","3861.00",1,4,1,"141","At Risk"
12826,5126,"7","1474.72",1,1,2,"112","Lost Customers"
12583,5126,"15","6705.38",1,1,1,"111","Lost Customers"
15969,5126,"3","666.10",1,3,3,"133","At Risk"
13756,5126,"14","5189.52",1,1,1,"111","Lost Customers"
18272,5126,"6","3078.58",1,1,1,"111","Lost Customers"
12783,5126,"4","1295.87",1,2,2,"122","Lost Customers"
12839,5126,"14","5591.42",1,1,1,"111","Lost Customers"
16191,5126,"13","5180.52",1,1,1,"111","Lost Customers"
17449,5126,"7","2517.86",1,1,1,"111","Lost Customers"
17511,5126,"31","91062.38",1,1,1,"111","Lost Customers"
16393,5126,"13","3046.21",1,1,1,"111","Lost Customers"
14141,5126,"4","915.13",1,2,3,"123","Lost Customers"
15568,5126,"3","758.29",1,3,3,"133","At Risk"
17870,5126,"12","1894.35",1,1,2,"112","Lost Customers"
17266,5126,"3","310.64",1,2,4,"124","Lost Customers"
15298,5126,"12","4799.90",1,1,1,"111","Lost Customers"
15750,5126,"8","2465.48",1,1,1,"111","Lost Customers"
15525,5126,"3","823.42",1,3,3,"133","At Risk"
16678,5126,"12","3109.99",1,1,1,"111","Lost Customers"
15701,5126,"4","1542.14",1,2,2,"122","Lost Customers"
17412,5126,"7","1258.06",1,1,2,"112","Lost Customers"
18273,5126,"3","204.00",1,2,5,"125","Lost Customers"
14769,5126,"8","10673.10",1,1,1,"111","Lost Customers"
14904,5126,"2","1025.44",1,4,2,"142","At Risk"
14132,5126,"11","3586.03",1,1,1,"111","Lost Customers"
12747,5126,"11","4196.01",1,1,1,"111","Lost Customers"
17097,5126,"8","954.42",1,1,2,"112","Lost Customers"
12950,5126,"3","1843.00",1,2,2,"122","Lost Customers"
12912,5126,"5","1662.30",1,2,2,"122","Lost Customers"
13870,5126,"8","2770.94",1,1,1,"111","Lost Customers"
14032,5126,"11","2975.59",1,1,1,"111","Lost Customers"
17091,5126,"9","3827.76",1,1,1,"111","Lost Customers"
17049,5126,"9","5659.98",1,1,1,"111","Lost Customers"
12615,5126,"4","2093.19",1,2,1,"121","Lost Customers"
13767,5126,"37","17220.36",1,1,1,"111","Lost Customers"
16817,5126,"9","1604.75",1,1,2,"112","Lost Customers"
13882,5126,"5","1191.13",1,2,2,"122","Lost Customers"
15318,5127,"1","312.62",1,4,4,"144","At Risk"
17861,5127,"8","2100.80",1,1,1,"111","Lost Customers"
13709,5127,"13","6328.05",1,1,1,"111","Lost Customers"
16949,5127,"6","1286.27",1,1,2,"112","Lost Customers"
17730,5127,"13","5298.48",1,1,1,"111","Lost Customers"
14562,5127,"18","5074.77",1,1,1,"111","Lost Customers"
18154,5127,"2","399.19",1,3,4,"134","At Risk"
16313,5127,"2","274.15",1,3,4,"134","At Risk"
12877,5127,"12","1535.77",1,1,2,"112","Lost Customers"
12723,5127,"5","707.07",1,2,3,"123","Lost Customers"
14871,5127,"4","522.38",1,2,3,"123","Lost Customers"
14735,5127,"31","6050.69",1,1,1,"111","Lost Customers"
14825,5127,"12","2226.91",1,1,1,"111","Lost Customers"
13507,5127,"4","2479.16",1,2,1,"121","Lost Customers"
18225,5127,"12","5509.12",1,1,1,"111","Lost Customers"
16143,5127,"6","2424.94",1,1,1,"111","Lost Customers"
16201,5127,"4","1863.47",1,2,2,"122","Lost Customers"
14110,5127,"12","5683.15",1,1,1,"111","Lost Customers"
17290,5127,"2","525.24",1,3,3,"133","At Risk"
14578,5127,"1","168.63",1,5,5,"155","At Risk"
17728,5127,"3","2876.01",1,2,1,"121","Lost Customers"
16528,5127,"1","244.41",1,5,5,"155","At Risk"
12417,5127,"9","3226.10",1,1,1,"111","Lost Customers"
12716,5127,"2","963.49",1,4,2,"142","At Risk"
13881,5127,"20","17159.52",1,1,1,"111","Lost Customers"
13323,5127,"5","787.85",1,2,3,"123","Lost Customers"
12478,5127,"1","545.99",1,4,3,"143","At Risk"
16013,5127,"47","37130.60",1,1,1,"111","Lost Customers"
12362,5127,"10","4737.23",1,1,1,"111","Lost Customers"
17744,5127,"6","2322.40",1,1,1,"111","Lost Customers"
12766,5127,"7","6457.63",1,1,1,"111","Lost Customers"
14673,5127,"5","1736.40",1,2,2,"122","Lost Customers"
13225,5127,"7","6463.84",1,1,1,"111","Lost Customers"
13755,5127,"9","2161.35",1,1,1,"111","Lost Customers"
16620,5127,"2","178.96",1,3,5,"135","At Risk"
15061,5127,"48","54534.14",1,1,1,"111","Lost Customers"
17250,5127,"2","384.52",1,3,4,"134","At Risk"
17884,5127,"4","717.45",1,2,3,"123","Lost Customers"
12442,5127,"1","144.06",1,5,5,"155","At Risk"
14547,5127,"8","4007.54",1,1,1,"111","Lost Customers"
12682,5127,"31","11028.22",1,1,1,"111","Lost Customers"
12584,5127,"9","2254.15",1,1,1,"111","Lost Customers"
14572,5127,"7","2832.84",1,1,1,"111","Lost Customers"
14113,5127,"4","1840.42",1,2,2,"122","Lost Customers"
14216,5127,"4","1839.30",1,2,2,"122","Lost Customers"
14418,5127,"3","1937.25",1,2,2,"122","Lost Customers"
13994,5127,"6","2313.14",1,1,1,"111","Lost Customers"
17593,5127,"5","3927.34",1,2,1,"121","Lost Customers"
14868,5127,"8","2953.59",1,1,1,"111","Lost Customers"
17705,5127,"9","1823.52",1,1,2,"112","Lost Customers"
14907,5127,"7","3501.10",1,1,1,"111","Lost Customers"
12971,5127,"86","11189.91",1,1,1,"111","Lost Customers"
16353,5127,"23","6675.71",1,1,1,"111","Lost Customers"
12749,5127,"5","4040.88",1,2,1,"121","Lost Customers"
14503,5127,"6","3543.26",1,1,1,"111","Lost Customers"
13104,5127,"6","1098.48",1,1,2,"112","Lost Customers"
13078,5127,"26","12627.94",1,1,1,"111","Lost Customers"
15023,5127,"11","6783.86",1,1,1,"111","Lost Customers"
17666,5127,"2","728.16",1,3,3,"133","At Risk"
15992,5127,"1","41.99",1,5,5,"155","At Risk"
15157,5127,"3","1936.07",1,2,2,"122","Lost Customers"
16569,5127,"1","124.20",1,5,5,"155","At Risk"
17119,5127,"2","606.91",1,3,3,"133","At Risk"
16015,5127,"3","705.10",1,3,3,"133","At Risk"
16016,5127,"8","1508.76",1,1,2,"112","Lost Customers"
14140,5127,"2","935.05",1,4,2,"142","At Risk"
16076,5127,"10","2234.73",1,1,1,"111","Lost Customers"
16495,5127,"3","684.41",1,3,3,"133","At Risk"
17346,5127,"15","2676.56",1,1,1,"111","Lost Customers"
16133,5127,"33","14589.04",1,1,1,"111","Lost Customers"
13199,5127,"37","9802.12",1,1,1,"111","Lost Customers"
17914,5127,"1","336.43",1,4,4,"144","At Risk"
14071,5127,"8","1424.00",1,1,2,"112","Lost Customers"
15194,5127,"15","7616.53",1,1,1,"111","Lost Customers"
14737,5127,"3","1164.55",1,2,2,"122","Lost Customers"
14293,5127,"4","1046.56",1,2,2,"122","Lost Customers"
18005,5127,"2","249.72",1,3,4,"134","At Risk"
12820,5127,"4","942.34",1,2,2,"122","Lost Customers"
17883,5127,"4","671.77",1,2,3,"123","Lost Customers"
12989,5127,"15","6924.11",1,1,1,"111","Lost Customers"
14282,5127,"15","3729.34",1,1,1,"111","Lost Customers"
15907,5127,"3","966.60",1,3,2,"132","At Risk"
18283,5127,"16","2088.93",1,1,1,"111","Lost Customers"
16790,5127,"6","1545.62",1,1,2,"112","Lost Customers"
16711,5127,"5","1651.03",1,2,2,"122","Lost Customers"
16764,5127,"13","2799.25",1,1,1,"111","Lost Customers"
17481,5127,"4","1255.59",1,2,2,"122","Lost Customers"
16987,5127,"7","1625.05",1,1,2,"112","Lost Customers"
14121,5127,"4","2780.15",1,2,1,"121","Lost Customers"
12650,5127,"1","242.44",1,5,5,"155","At Risk"
16979,5127,"6","1852.00",1,1,2,"112","Lost Customers"
13694,5127,"50","65039.62",1,1,1,"111","Lost Customers"
16929,5127,"7","1295.39",1,1,2,"112","Lost Customers"
15822,5127,"2","885.47",1,4,3,"143","At Risk"
13083,5128,"2","303.75",1,3,4,"134","At Risk"
16642,5128,"2","688.33",1,3,3,"133","At Risk"
16600,5128,"6","813.52",1,1,3,"113","Lost Customers"
13417,5128,"2","640.83",1,3,3,"133","At Risk"
16968,5128,"2","439.43",1,3,4,"134","At Risk"
13173,5128,"2","353.65",1,3,4,"134","At Risk"
15097,5128,"1","248.08",1,5,5,"155","At Risk"
18180,5128,"6","1843.75",1,1,2,"112","Lost Customers"
16360,5128,"6","3512.53",1,1,1,"111","Lost Customers"
16684,5128,"28","66653.56",1,1,1,"111","Lost Customers"
15856,5128,"27","16386.31",1,1,1,"111","Lost Customers"
12841,5128,"25","4022.35",1,1,1,"111","Lost Customers"
17857,5128,"22","25301.54",1,1,1,"111","Lost Customers"
15358,5128,"22","8347.20",1,1,1,"111","Lost Customers"
14194,5128,"21","11349.52",1,1,1,"111","Lost Customers"
17006,5128,"4","781.78",1,2,3,"123","Lost Customers"
14060,5128,"19","6140.42",1,1,1,"111","Lost Customers"
14649,5128,"4","1417.29",1,2,2,"122","Lost Customers"
18015,5128,"1","120.03",1,5,5,"155","At Risk"
14608,5128,"4","1785.15",1,2,2,"122","Lost Customers"
15621,5128,"4","1293.03",1,2,2,"122","Lost Customers"
15290,5128,"18","7943.22",1,1,1,"111","Lost Customers"
16746,5128,"18","6697.66",1,1,1,"111","Lost Customers"
17706,5128,"17","10504.49",1,1,1,"111","Lost Customers"
15145,5128,"4","1194.73",1,2,2,"122","Lost Customers"
18198,5128,"17","5425.56",1,1,1,"111","Lost Customers"
15031,5128,"4","668.14",1,2,3,"123","Lost Customers"
17526,5128,"4","1195.90",1,2,2,"122","Lost Customers"
17920,5128,"17","4192.20",1,1,1,"111","Lost Customers"
14096,5128,"17","53258.43",1,1,1,"111","Lost Customers"
16592,5128,"16","4113.68",1,1,1,"111","Lost Customers"
16513,5128,"4","874.59",1,2,3,"123","Lost Customers"
14931,5128,"4","864.68",1,2,3,"123","Lost Customers"
15640,5128,"15","12515.66",1,1,1,"111","Lost Customers"
13985,5128,"15","7060.13",1,1,1,"111","Lost Customers"
16904,5128,"15","3735.47",1,1,1,"111","Lost Customers"
12683,5128,"14","7612.57",1,1,1,"111","Lost Customers"
18223,5128,"14","6484.54",1,1,1,"111","Lost Customers"
13230,5128,"14","2806.97",1,1,1,"111","Lost Customers"
13001,5128,"13","9818.82",1,1,1,"111","Lost Customers"
17404,5128,"13","31781.82",1,1,1,"111","Lost Customers"
17817,5128,"3","387.68",1,2,4,"124","Lost Customers"
14401,5128,"13","4051.48",1,1,1,"111","Lost Customers"
16851,5128,"3","342.45",1,2,4,"124","Lost Customers"
16379,5128,"4","2157.40",1,2,1,"121","Lost Customers"
15392,5128,"4","1535.53",1,2,2,"122","Lost Customers"
15550,5128,"4","575.63",1,2,3,"123","Lost Customers"
15854,5128,"12","2974.65",1,1,1,"111","Lost Customers"
16200,5128,"2","1080.62",1,4,2,"142","At Risk"
17402,5128,"12","2598.85",1,1,1,"111","Lost Customers"
12367,5128,"1","150.90",1,5,5,"155","At Risk"
14759,5128,"3","1625.97",1,2,2,"122","Lost Customers"
12913,5128,"5","2483.63",1,2,1,"121","Lost Customers"
14629,5128,"2","959.01",1,4,2,"142","At Risk"
15033,5128,"10","2583.37",1,1,1,"111","Lost Customers"
12381,5128,"3","1474.81",1,2,2,"122","Lost Customers"
17218,5128,"10","1960.72",1,1,2,"112","Lost Customers"
18044,5128,"10","2088.60",1,1,1,"111","Lost Customers"
13305,5128,"10","2000.86",1,1,2,"112","Lost Customers"
16682,5128,"5","1028.00",1,2,2,"122","Lost Customers"
14083,5128,"9","1018.43",1,1,2,"112","Lost Customers"
15628,5128,"9","2870.24",1,1,1,"111","Lost Customers"
13021,5128,"9","2616.38",1,1,1,"111","Lost Customers"
17811,5128,"39","7831.03",1,1,1,"111","Lost Customers"
12994,5128,"3","974.42",1,3,2,"132","At Risk"
13790,5128,"1","348.80",1,4,4,"144","At Risk"
14075,5128,"3","942.26",1,3,2,"132","At Risk"
16149,5128,"2","280.52",1,3,4,"134","At Risk"
16597,5128,"1","90.04",1,5,5,"155","At Risk"
14219,5128,"1","89.94",1,5,5,"155","At Risk"
15932,5128,"8","2495.87",1,1,1,"111","Lost Customers"
17254,5128,"2","272.44",1,3,4,"134","At Risk"
13126,5128,"8","2099.64",1,1,1,"111","Lost Customers"
12628,5128,"3","732.46",1,3,3,"133","At Risk"
12782,5128,"5","1938.92",1,2,2,"122","Lost Customers"
16910,5128,"8","1510.06",1,1,2,"112","Lost Customers"
16811,5128,"2","547.07",1,3,3,"133","At Risk"
15053,5128,"3","697.79",1,3,3,"133","At Risk"
13079,5128,"5","220.10",1,2,5,"125","Lost Customers"
15572,5128,"7","2552.86",1,1,1,"111","Lost Customers"
14696,5128,"7","2078.95",1,1,1,"111","Lost Customers"
14739,5128,"7","3902.28",1,1,1,"111","Lost Customers"
17579,5128,"3","448.90",1,3,4,"134","At Risk"
17090,5128,"7","2043.95",1,1,1,"111","Lost Customers"
15690,5128,"2","239.76",1,3,5,"135","At Risk"
18030,5128,"2","230.65",1,3,5,"135","At Risk"
17383,5128,"1","199.29",1,5,5,"155","At Risk"
17676,5128,"6","1387.68",1,1,2,"112","Lost Customers"
12646,5128,"2","1346.97",1,3,2,"132","At Risk"
13311,5128,"2","598.57",1,3,3,"133","At Risk"
15274,5128,"2","716.57",1,3,3,"133","At Risk"
16500,5128,"6","400.86",1,1,4,"114","Lost Customers"
16873,5128,"6","7123.62",1,1,1,"111","Lost Customers"
12925,5128,"2","694.05",1,3,3,"133","At Risk"
14456,5129,"9","3059.44",1,1,1,"111","Lost Customers"
16326,5129,"14","3110.96",1,1,1,"111","Lost Customers"
16033,5129,"20","8816.40",1,1,1,"111","Lost Customers"
14720,5129,"3","663.81",1,3,3,"133","At Risk"
13630,5129,"7","2031.78",1,1,2,"112","Lost Customers"
15867,5129,"15","3806.10",1,1,1,"111","Lost Customers"
17131,5129,"5","2463.17",1,2,1,"121","Lost Customers"
14658,5129,"2","247.15",1,3,5,"135","At Risk"
15773,5129,"1","635.68",1,4,3,"143","At Risk"
16438,5129,"5","798.35",1,2,3,"123","Lost Customers"
14546,5129,"5","2578.09",1,2,1,"121","Lost Customers"
16561,5129,"2","511.12",1,3,3,"133","At Risk"
13435,5129,"7","3809.89",1,1,1,"111","Lost Customers"
17173,5129,"8","3766.60",1,1,1,"111","Lost Customers"
12673,5129,"2","574.52",1,3,3,"133","At Risk"
13153,5129,"1","486.22",1,4,3,"143","At Risk"
17114,5129,"8","808.62",1,1,3,"113","Lost Customers"
12490,5129,"10","4859.93",1,1,1,"111","Lost Customers"
12560,5129,"2","1918.01",1,3,2,"132","At Risk"
12827,5129,"3","430.15",1,3,4,"134","At Risk"
17618,5129,"3","971.58",1,3,2,"132","At Risk"
12719,5129,"2","572.95",1,3,3,"133","At Risk"
14354,5129,"2","163.62",1,3,5,"135","At Risk"
13704,5129,"9","2308.06",1,1,1,"111","Lost Customers"
17858,5129,"12","5155.66",1,1,1,"111","Lost Customers"
12724,5129,"4","923.41",1,2,3,"123","Lost Customers"
16283,5129,"5","1569.11",1,2,2,"122","Lost Customers"
16905,5129,"7","3102.43",1,1,1,"111","Lost Customers"
13319,5129,"26","10845.55",1,1,1,"111","Lost Customers"
12952,5129,"4","1387.79",1,2,2,"122","Lost Customers"
13808,5129,"5","1747.66",1,2,2,"122","Lost Customers"
17954,5129,"12","2332.72",1,1,1,"111","Lost Customers"
13822,5129,"2","632.00",1,3,3,"133","At Risk"
13838,5129,"4","691.73",1,2,3,"123","Lost Customers"
16535,5129,"1","593.75",1,4,3,"143","At Risk"
13736,5129,"2","731.90",1,3,3,"133","At Risk"
17936,5129,"1","389.84",1,4,4,"144","At Risk"
16988,5129,"1","126.12",1,5,5,"155","At Risk"
17750,5129,"9","1781.28",1,1,2,"112","Lost Customers"
13558,5129,"4","605.06",1,2,3,"123","Lost Customers"
16931,5129,"21","4604.22",1,1,1,"111","Lost Customers"
18065,5129,"14","2392.83",1,1,1,"111","Lost Customers"
14583,5129,"5","1052.55",1,2,2,"122","Lost Customers"
14102,5129,"5","1360.28",1,2,2,"122","Lost Customers"
13956,5129,"5","1026.42",1,2,2,"122","Lost Customers"
